DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"u_HDMI_IMG_GEN/u_R/mult_4","gnd","gnd","clk_pixel_2x","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,1,0,"P","P","C","P",1,1,1,1
"u_HDMI_IMG_GEN/u_R/mult_5","gnd","gnd","clk_pixel_2x","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,1,0,"P","P","C","P",1,1,1,1
"u_HDMI_IMG_GEN/u_G/mult_4","gnd","gnd","clk_pixel_2x","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,1,0,"P","P","C","P",1,1,1,1
"u_HDMI_IMG_GEN/u_G/mult_5","gnd","gnd","clk_pixel_2x","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,1,0,"P","P","C","P",1,1,1,1
"u_HDMI_IMG_GEN/u_B/mult_4","gnd","gnd","clk_pixel_2x","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,1,0,"P","P","C","P",1,1,1,1
"u_HDMI_IMG_GEN/u_B/mult_5","gnd","gnd","clk_pixel_2x","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,1,0,"P","P","C","P",1,1,1,1
